,,good,total,accuracy
776,0.95,7,11,0.6363636363636364
33,0.95,4,7,0.5714285714285714
426,0.95,3,4,0.75
1316,0.95,6,9,0.6666666666666666
800,0.95,0,4,0.0
54,0.95,16,16,1.0
121,0.95,5,6,0.8333333333333334
1325,0.95,5,9,0.5555555555555556
15,0.95,5,8,0.625
698,0.95,2,7,0.2857142857142857
775,0.95,10,14,0.7142857142857143
1029,0.95,5,12,0.4166666666666667
989,0.95,9,12,0.75
528,0.95,6,10,0.6
353,0.95,1,3,0.3333333333333333
307,0.95,12,13,0.9230769230769231
896,0.95,2,2,1.0
1170,0.95,1,10,0.1
1414,0.95,15,15,1.0
1315,0.95,3,5,0.6
1300,0.95,7,8,0.875
1296,0.95,4,9,0.4444444444444444
1038,0.95,0,7,0.0
1025,0.95,3,11,0.2727272727272727
140,0.95,9,12,0.75
910,0.95,9,13,0.6923076923076923
149,0.95,4,6,0.6666666666666666
703,0.95,7,10,0.7
913,0.95,6,8,0.75
471,0.95,1,4,0.25
236,0.95,12,13,0.9230769230769231
336,0.95,3,7,0.42857142857142855
1119,0.95,5,11,0.45454545454545453
807,0.95,5,6,0.8333333333333334
746,0.95,3,8,0.375
393,0.95,8,9,0.8888888888888888
801,0.95,2,5,0.4
814,0.95,1,8,0.125
736,0.95,6,7,0.8571428571428571
1264,0.95,1,4,0.25
302,0.95,7,10,0.7
988,0.95,6,8,0.75
645,0.95,8,9,0.8888888888888888
1176,0.95,5,8,0.625
1039,0.95,13,16,0.8125
145,0.95,10,13,0.7692307692307693
1257,0.95,1,2,0.5
204,0.95,1,4,0.25
537,0.95,0,3,0.0
985,0.95,5,9,0.5555555555555556
1179,0.95,3,9,0.3333333333333333
1381,0.95,1,1,1.0
769,0.95,7,12,0.5833333333333334
1090,0.95,4,6,0.6666666666666666
